Weather_Group,Severity,Count,Proportion
Clear / Fair,1,52665,0.009569801402771345
Clear / Fair,2,4384825,0.7967702351828893
Clear / Fair,3,925361,0.16814812486224046
Clear / Fair,4,140398,0.025511838552098952
Cloudy,1,8162,0.007856038716160417
Cloudy,2,840070,0.8085790791821712
Cloudy,3,161460,0.1554074995235556
Cloudy,4,29254,0.02815738257811282
Dust / Sand / Smoke,1,18,0.0013301803133313626
Dust / Sand / Smoke,2,11106,0.8207212533254508
Dust / Sand / Smoke,3,1971,0.14565474430978423
Dust / Sand / Smoke,4,437,0.03229382205143364
Fog / Mist,1,935,0.00497628944441192
Fog / Mist,2,156844,0.8347605792720247
Fog / Mist,3,26017,0.13846858018744912
Fog / Mist,4,4095,0.021794551096114237
Hail,1,2,0.00015969338869370808
Hail,2,10855,0.8667358671351006
Hail,3,1244,0.09932928776748642
Hail,4,423,0.03377515170871926
Other,1,590,0.008219559765951519
Other,2,57162,0.7963499582056283
Other,3,12174,0.1696015603232098
Other,4,1854,0.025828921705210364
Rain / Thunderstorm,1,3919,0.006874256706741648
Rain / Thunderstorm,2,437458,0.7673382471083919
Rain / Thunderstorm,3,114021,0.20000245571813968
Rain / Thunderstorm,4,14700,0.025785040466726774
Sleet / Ice,1,3,0.0005553498704183636
Sleet / Ice,2,3746,0.6934468715290633
Sleet / Ice,3,1367,0.253054424287301
Sleet / Ice,4,286,0.052943354313217325
Snow,1,117,0.0007724199852117883
Snow,2,120099,0.7928792119995774
Snow,3,25424,0.16784620259850005
Snow,4,5832,0.03850216541671068
Tornado,1,1,0.024390243902439025
Tornado,2,35,0.8536585365853658
Tornado,3,3,0.07317073170731707
Tornado,4,2,0.04878048780487805
